Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Pyruvate metabolism	1/47	0.402922918098888	0.559158335320906	1.97715888599479	1.79725720994326	PKM	147	KEGG_2021_Human
Sphingolipid metabolism	1/49	0.415898908861852	0.571190858265473	1.89458525345622	1.66214437817499	PSAP	148	KEGG_2021_Human
Cholesterol metabolism	1/50	0.422281247484885	0.571190858265473	1.85582620144832	1.59987756228422	NPC2	149	KEGG_2021_Human
Vibrio cholerae infection	1/50	0.422281247484885	0.571190858265473	1.85582620144832	1.59987756228422	ACTB	149	KEGG_2021_Human
Dopaminergic synapse	2/132	0.422793233323953	0.571190858265473	1.3997150997151	1.20497557868537	GNG2;GNG5	151	KEGG_2021_Human
MicroRNAs in cancer	4/310	0.438132900057903	0.588020471130343	1.18966465090709	0.98175051677496	MARCKS;RHOA;ZEB2;MCL1	152	KEGG_2021_Human
Autophagy	2/137	0.441395506300789	0.588527341734385	1.34753086419753	1.10202956004872	HIF1A;CTSD	153	KEGG_2021_Human
Pyrimidine metabolism	1/56	0.459143445556875	0.608149284612044	1.65286971093423	1.28658155207257	TYMP	154	KEGG_2021_Human
Signaling pathways regulating pluripotency of stem cells	2/143	0.463277875354978	0.608149284612044	1.2897951142632	0.992404787524162	ID2;KLF4	155	KEGG_2021_Human
Glutathione metabolism	1/57	0.465055335291563	0.608149284612044	1.62327188940092	1.24277514021373	GSTP1	156	KEGG_2021_Human
Endometrial cancer	1/58	0.470902897689719	0.61187382884524	1.59471258792142	1.20098342133454	GADD45B	157	KEGG_2021_Human
VEGF signaling pathway	1/59	0.476686829507172	0.61546907100926	1.5671380899412	1.1610856302175	SH2D2A	158	KEGG_2021_Human
Retrograde endocannabinoid signaling	2/148	0.48112598016453	0.617293710399775	1.2453069507864	0.911099105247314	GNG2;GNG5	159	KEGG_2021_Human
Basal cell carcinoma	1/63	0.499199924843518	0.636479904175486	1.46573509736881	1.01831742516136	GADD45B	160	KEGG_2021_Human
Cortisol synthesis and secretion	1/65	0.510092260081822	0.644056290647862	1.41978686635945	0.95574893403163	NR4A1	161	KEGG_2021_Human
Neuroactive ligand-receptor interaction	4/341	0.511456466102714	0.644056290647862	1.07851021936271	0.723133344866844	ADM;PTGER4;C5AR1;GZMA	162	KEGG_2021_Human
Mitophagy	1/68	0.525990148927244	0.654301643014161	1.35600797854048	0.871198235601626	HIF1A	163	KEGG_2021_Human
Renal cell carcinoma	1/69	0.53117448303992	0.654301643014161	1.33599891569531	0.84523937780731	HIF1A	164	KEGG_2021_Human
Renin secretion	1/69	0.53117448303992	0.654301643014161	1.33599891569531	0.84523937780731	PTGER4	164	KEGG_2021_Human
Hippo signaling pathway	2/163	0.532421925197798	0.654301643014161	1.12842190016103	0.711265776658904	ACTB;ID2	166	KEGG_2021_Human
cGMP-PKG signaling pathway	2/167	0.545507920889029	0.655950604077646	1.10084175084175	0.667151881691442	RHOA;SLC25A5	167	KEGG_2021_Human
Melanoma	1/72	0.546391257199043	0.655950604077646	1.27935354059843	0.773266830658723	GADD45B	168	KEGG_2021_Human
Non-small cell lung cancer	1/72	0.546391257199043	0.655950604077646	1.27935354059843	0.773266830658723	GADD45B	168	KEGG_2021_Human
p53 signaling pathway	1/73	0.551353456412743	0.655950604077646	1.26152073732719	0.751083199549115	GADD45B	170	KEGG_2021_Human
